iter	Passed	Remaining
719	66579	25892
720	66630	25783
721	66678	25674
722	66720	25562
723	66764	25451
724	66908	25379
725	66958	25270
726	67015	25165
727	67096	25068
728	67261	25003
729	67379	24921
730	67532	24851
731	67652	24768
732	67795	24694
733	67928	24617
734	68035	24529
735	68147	24444
736	68398	24408
737	68627	24363
738	68702	24264
739	68736	24150
740	68777	24039
741	68950	23974
742	69131	23912
743	69340	23858
744	69440	23768
745	69589	23693
746	69690	23603
747	69786	23510
748	69906	23426
749	70046	23348
750	70211	23279
751	70332	23194
752	70461	23112
753	70568	23023
754	70672	22933
755	70775	22842
756	70896	22757
757	70994	22665
758	71094	22574
759	71228	22493
760	71331	22402
761	71395	22299
762	71443	22191
763	71482	22080
764	71521	21970
765	71565	21861
766	71632	21760
767	71773	21681
768	71957	21615
769	72117	21541
770	72262	21463
771	72372	21374
772	72497	21289
773	72632	21207
774	72708	21108
775	72745	20998
776	72784	20889
777	72825	20780
778	72860	20670
779	72901	20561
780	73042	20481
781	73173	20398
782	73290	20311
783	73388	20219
784	73493	20128
785	73616	20043
786	73764	19964
787	73910	19884
788	74044	19801
789	74241	19735
790	74353	19645
791	74479	19560
792	74598	19472
793	74763	19397
794	74897	19313
795	75033	19229
796	75130	19136
797	75273	19054
798	75348	18955
799	75484	18871
800	75526	18763
801	75563	18655
802	75598	18546
803	75639	18439
804	75678	18331
805	75716	18224
806	75756	18117
807	75798	18011
808	75837	17904
809	75867	17796
810	75903	17688
811	75930	17580
812	76053	17493
813	76221	17416
814	76331	17326
815	76459	17240
816	76585	17154
817	76702	17065
818	76857	16985
819	76957	16893
820	76996	16787
821	77026	16679
822	77059	16572
823	77093	16466
824	77123	16359
825	77150	16251
826	77178	16144
827	77198	16036
828	77218	15928
829	77241	15820
830	77274	15715
831	77307	15610
832	77336	15504
833	77363	15398
834	77386	15291
835	77491	15201
836	77554	15103
837	77589	14999
838	77695	14909
839	77842	14827
840	77947	14736
841	78075	14650
842	78211	14565
843	78310	14474
844	78401	14381
845	78510	14291
